time,temperature_2m,wind_speed_10m
2024-01-01 00:00:00,1.5,13.3
2024-01-01 01:00:00,2.8,14.8
2024-01-01 02:00:00,4.0,23.4
2024-01-01 03:00:00,4.7,23.4
2024-01-01 04:00:00,4.6,28.7
2024-01-01 05:00:00,4.1,27.1
2024-01-01 06:00:00,3.8,20.6
2024-01-01 07:00:00,4.0,22.3
2024-01-01 08:00:00,4.4,24.7
2024-01-01 09:00:00,4.7,23.0
2024-01-01 10:00:00,5.2,22.3
2024-01-01 11:00:00,5.9,25.6
2024-01-01 12:00:00,7.2,26.1
2024-01-01 13:00:00,8.1,25.9
2024-01-01 14:00:00,7.9,27.3
2024-01-01 15:00:00,7.9,21.0
2024-01-01 16:00:00,7.3,16.2
2024-01-01 17:00:00,6.1,13.6
2024-01-01 18:00:00,5.7,16.9
2024-01-01 19:00:00,5.6,18.0
2024-01-01 20:00:00,5.4,18.1
2024-01-01 21:00:00,5.2,16.3
2024-01-01 22:00:00,5.1,15.1
2024-01-01 23:00:00,5.4,16.9
2024-01-02 00:00:00,5.6,17.7
2024-01-02 01:00:00,5.4,18.0
2024-01-02 02:00:00,5.3,17.0
2024-01-02 03:00:00,4.8,12.4
2024-01-02 04:00:00,3.5,9.0
2024-01-02 05:00:00,1.6,9.3
2024-01-02 06:00:00,0.6,8.6
2024-01-02 07:00:00,1.1,6.9
2024-01-02 08:00:00,2.2,6.7
2024-01-02 09:00:00,2.8,6.4
2024-01-02 10:00:00,3.3,8.3
2024-01-02 11:00:00,3.7,7.6
2024-01-02 12:00:00,4.8,8.3
2024-01-02 13:00:00,5.5,9.5
2024-01-02 14:00:00,6.2,10.3
2024-01-02 15:00:00,4.7,4.1
2024-01-02 16:00:00,4.8,4.5
2024-01-02 17:00:00,4.8,4.8
2024-01-02 18:00:00,4.4,3.5
2024-01-02 19:00:00,4.3,4.7
2024-01-02 20:00:00,4.2,5.1
2024-01-02 21:00:00,4.1,6.8
2024-01-02 22:00:00,4.2,8.1
2024-01-02 23:00:00,4.2,6.9
2024-01-03 00:00:00,4.0,4.4
2024-01-03 01:00:00,3.9,2.6
2024-01-03 02:00:00,4.4,1.1
2024-01-03 03:00:00,5.2,13.9
2024-01-03 04:00:00,6.0,11.1
2024-01-03 05:00:00,5.9,5.4
2024-01-03 06:00:00,6.1,10.0
2024-01-03 07:00:00,8.9,18.0
2024-01-03 08:00:00,8.8,24.5
2024-01-03 09:00:00,9.0,26.4
2024-01-03 10:00:00,9.9,26.1
2024-01-03 11:00:00,10.8,27.2
2024-01-03 12:00:00,11.4,27.3
2024-01-03 13:00:00,11.6,19.2
2024-01-03 14:00:00,12.1,20.6
2024-01-03 15:00:00,12.6,21.4
2024-01-03 16:00:00,12.2,25.0
2024-01-03 17:00:00,11.6,22.1
2024-01-03 18:00:00,11.6,20.9
2024-01-03 19:00:00,10.0,12.7
2024-01-03 20:00:00,9.0,10.7
2024-01-03 21:00:00,6.8,9.2
2024-01-03 22:00:00,5.1,8.9
2024-01-03 23:00:00,3.7,9.3
